feature,importance_gain,importance_split
presence_spoon,0.0,0
presence_knife,0.0,0
presence_fork,0.0,0
presence_tennis_racket,0.0,0
presence_surfboard,0.0,0
presence_skateboard,0.0,0
presence_baseball_glove,0.0,0
presence_baseball_bat,0.0,0
presence_kite,0.0,0
presence_sports_ball,0.0,0
presence_snowboard,0.0,0
presence_skis,0.0,0
presence_frisbee,0.0,0
presence_suitcase,0.0,0
presence_furniture_other_merged,0.0,0
presence_ground_other_merged,0.0,0
presence_mountain_merged,0.0,0
count_keyboard,0.0,0
count_blanket,0.0,0
count_banner,0.0,0
count_toothbrush,0.0,0
count_hair_drier,0.0,0
count_teddy_bear,0.0,0
count_scissors,0.0,0
count_clock,0.0,0
count_toaster,0.0,0
count_microwave,0.0,0
count_cell_phone,0.0,0
count_remote,0.0,0
presence_plant_other_merged,0.0,0
count_mouse,0.0,0
count_laptop,0.0,0
count_tv,0.0,0
count_toilet,0.0,0
count_bed,0.0,0
count_cake,0.0,0
count_donut,0.0,0
count_pizza,0.0,0
count_hot_dog,0.0,0
count_carrot,0.0,0
count_bridge,0.0,0
count_cardboard,0.0,0
count_counter,0.0,0
count_curtain,0.0,0
count_tree_merged,0.0,0
count_tree,0.0,0
count_towel,0.0,0
count_tent,0.0,0
count_snow,0.0,0
count_sea,0.0,0
count_sand,0.0,0
count_roof,0.0,0
count_road,0.0,0
count_river,0.0,0
count_railroad,0.0,0
count_playingfield,0.0,0
count_platform,0.0,0
count_pillow,0.0,0
count_net,0.0,0
count_mirror_stuff,0.0,0
presence_bicycle,0.0,0
count_house,0.0,0
count_gravel,0.0,0
count_fruit,0.0,0
count_flower,0.0,0
count_broccoli,0.0,0
count_orange,0.0,0
count_sandwich,0.0,0
count_cow,0.0,0
count_horse,0.0,0
count_dog,0.0,0
count_cat,0.0,0
count_bird,0.0,0
count_bench,0.0,0
count_parking_meter,0.0,0
count_stop_sign,0.0,0
count_fire_hydrant,0.0,0
count_traffic_light,0.0,0
count_boat,0.0,0
count_truck,0.0,0
count_train,0.0,0
count_bus,0.0,0
count_airplane,0.0,0
count_motorcycle,0.0,0
count_car,0.0,0
count_bicycle,0.0,0
count_person,0.0,0
presence_vegetation,0.0,0
presence_textile_other_merged,0.0,0
presence_structural_other_merged,0.0,0
count_sheep,0.0,0
count_elephant,0.0,0
count_apple,0.0,0
count_bear,0.0,0
count_banana,0.0,0
count_spoon,0.0,0
count_knife,0.0,0
count_fork,0.0,0
count_tennis_racket,0.0,0
count_surfboard,0.0,0
count_skateboard,0.0,0
count_baseball_glove,0.0,0
count_baseball_bat,0.0,0
count_kite,0.0,0
count_sports_ball,0.0,0
count_snowboard,0.0,0
count_skis,0.0,0
count_frisbee,0.0,0
count_suitcase,0.0,0
count_tie,0.0,0
count_handbag,0.0,0
count_umbrella,0.0,0
count_backpack,0.0,0
count_giraffe,0.0,0
count_zebra,0.0,0
ind_L079_neg_no_ventilation_system,0.0,0
